"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\src\components\index.md", "Markdown", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 30, 271
"d:\qsa2020\04_pc\myapp\src\components\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"d:\qsa2020\04_pc\myapp\src\e2e\baseLayout.e2e.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"d:\qsa2020\04_pc\myapp\src\global.less", "Less", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40, 236
"d:\qsa2020\04_pc\myapp\src\global.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 6, 86
"d:\qsa2020\04_pc\myapp\src\layouts\BaseLayout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\qsa2020\04_pc\myapp\src\locales\en-US.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\qsa2020\04_pc\myapp\src\locales\en-US\component.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\qsa2020\04_pc\myapp\src\locales\en-US\globalHeader.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\qsa2020\04_pc\myapp\src\locales\en-US\menu.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\qsa2020\04_pc\myapp\src\locales\en-US\pages.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"d:\qsa2020\04_pc\myapp\src\locales\en-US\pwa.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\qsa2020\04_pc\myapp\src\locales\en-US\settingDrawer.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"d:\qsa2020\04_pc\myapp\src\locales\en-US\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
